task_id,baseline,baseline_label,period,from_date,to_date,rebalance,top_n,hold_days,rebalance_count,risk_off_count,traded_rebalance_count,position_count,total_return_pct,benchmark_return_pct,excess_return_pct,mdd_pct,sharpe,win_rate_pct,prediction_hit_rate_pct,stop_loss_pct,take_profit_pct,trailing_stop_pct,result_json
bt-ai-tune_2025-bollinger_lower-m-top3-h60,bollinger_lower,Close <= Bollinger lower band,tune_2025,2025-01-01,2025-12-31,M,3,60,12,11,1,3,-6.53,110.38,-116.91,-6.53,-0.592,0.0,0.0,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-tune_2025-bollinger_lower-m-top3-h60.json
bt-ai-tune_2025-bollinger_ranked-m-top3-h60,bollinger_ranked,"Lowest Bollinger %B, no threshold",tune_2025,2025-01-01,2025-12-31,M,3,60,12,1,11,33,92.68,110.38,-17.7,-10.51,1.118,66.67,63.64,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-tune_2025-bollinger_ranked-m-top3-h60.json
bt-ai-tune_2025-rsi_oversold-m-top3-h60,rsi_oversold,RSI(14) <= 30,tune_2025,2025-01-01,2025-12-31,M,3,60,12,6,6,18,33.34,110.38,-77.04,-7.52,0.65,25.0,61.11,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-tune_2025-rsi_oversold-m-top3-h60.json
bt-ai-tune_2025-rsi_ranked-m-top3-h60,rsi_ranked,"Lowest RSI(14), no threshold",tune_2025,2025-01-01,2025-12-31,M,3,60,12,1,11,33,94.71,110.38,-15.68,-22.23,0.964,50.0,57.58,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-tune_2025-rsi_ranked-m-top3-h60.json
bt-ai-validation_2026q1-bollinger_lower-m-top3-h60,bollinger_lower,Close <= Bollinger lower band,validation_2026q1,2026-01-01,2026-03-31,M,3,60,1,1,0,0,0.0,-1.94,1.94,0.0,0.0,0.0,0.0,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-validation_2026q1-bollinger_lower-m-top3-h60.json
bt-ai-validation_2026q1-bollinger_ranked-m-top3-h60,bollinger_ranked,"Lowest Bollinger %B, no threshold",validation_2026q1,2026-01-01,2026-03-31,M,3,60,1,0,1,3,-8.58,-1.94,-6.64,0.0,0.0,0.0,0.0,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-validation_2026q1-bollinger_ranked-m-top3-h60.json
bt-ai-validation_2026q1-rsi_oversold-m-top3-h60,rsi_oversold,RSI(14) <= 30,validation_2026q1,2026-01-01,2026-03-31,M,3,60,1,1,0,0,0.0,-1.94,1.94,0.0,0.0,0.0,0.0,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-validation_2026q1-rsi_oversold-m-top3-h60.json
bt-ai-validation_2026q1-rsi_ranked-m-top3-h60,rsi_ranked,"Lowest RSI(14), no threshold",validation_2026q1,2026-01-01,2026-03-31,M,3,60,1,0,1,3,-10.13,-1.94,-8.19,0.0,0.0,0.0,0.0,0.0,0.0,15.0,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-validation_2026q1-rsi_ranked-m-top3-h60.json
