task_id,period,from_date,to_date,rebalance,top_n,hold_days,rebalance_count,risk_off_count,traded_rebalance_count,position_count,total_return_pct,benchmark_return_pct,excess_return_pct,mdd_pct,sharpe,win_rate_pct,prediction_hit_rate_pct,stop_loss_pct,take_profit_pct,trailing_stop_pct,result_json
bt-ai-2026q1-w-top3-h5,2026q1,2026-01-01,2026-03-31,W,3,5,14,0,14,42,24.62,-3.38,28.01,-21.27,1.539,57.14,52.38,0.0,0.0,15.0,data/backtest_results/final_tuning/top3_h5_tr15_yearly/bt-ai-2026q1-w-top3-h5.json
bt-ai-2025-w-top3-h5,2025,2025-01-01,2025-12-31,W,3,5,53,5,48,144,216.92,85.25,131.67,-26.35,2.308,52.83,50.69,0.0,0.0,15.0,data/backtest_results/final_tuning/top3_h5_tr15_yearly/bt-ai-2025-w-top3-h5.json
bt-ai-2024-w-top3-h5,2024,2024-01-01,2024-12-31,W,3,5,53,34,19,57,43.56,-6.99,50.55,-21.24,0.985,18.87,45.61,0.0,0.0,15.0,data/backtest_results/final_tuning/top3_h5_tr15_yearly/bt-ai-2024-w-top3-h5.json
bt-ai-2023-w-top3-h5,2023,2023-01-01,2023-12-31,W,3,5,21,10,11,33,16.08,1.24,14.85,-16.97,1.039,33.33,48.48,0.0,0.0,15.0,data/backtest_results/final_tuning/top3_h5_tr15_yearly/bt-ai-2023-w-top3-h5.json
